id,influencer_id,title,platform,url,thumbnail,published,year_start,year_end,era,places,tags,verified,notes
v124,inrap,Une agglomération antique à Gémenos (Bouches-du-Rhône),reel,https://www.youtube.com/watch?v=tSXHgcgIs2A,https://i.ytimg.com/vi/tSXHgcgIs2A/hqdefault.jpg,2026-06-02,-50,300,Roman Gaul,gemenos,rome;settlement;france,yes,
v125,toldinstone,How Accurate is Shakespeare's Julius Caesar?,youtube,https://www.youtube.com/watch?v=76GCu5x74-I,https://i.ytimg.com/vi/76GCu5x74-I/hqdefault.jpg,2026-03-06,-44,-44,Late Roman Republic,rome,rome;caesar;reception,yes,
v126,einfach-antike,Von Octavian zu Augustus – Vom Krieg zum Frieden? – Einfach Antike – Der Podcast,youtube,https://www.youtube.com/watch?v=SCxB8fi560c,https://i.ytimg.com/vi/SCxB8fi560c/hqdefault.jpg,2026-04-10,-44,-27,End of the Roman Republic,rome,rome;augustus;politics,yes,
v127,historia-civilis,The Battle of Philippi (42 B.C.E.),youtube,https://www.youtube.com/watch?v=gdavaK3d4Pc,https://i.ytimg.com/vi/gdavaK3d4Pc/hqdefault.jpg,2020-09-22,-42,-42,Roman civil wars,philippi,rome;battle;civil-war,yes,
v128,historia-civilis,Sextus Pompeius and the Sicilian War (42 to 36 B.C.E.),youtube,https://www.youtube.com/watch?v=8rt67AqrR74,https://i.ytimg.com/vi/8rt67AqrR74/hqdefault.jpg,2021-01-16,-42,-36,Roman civil wars,sicily,rome;naval;civil-war,yes,
v129,historia-civilis,Antony's Invasion of Parthia (42 to 33 B.C.E.),youtube,https://www.youtube.com/watch?v=POHNhn3WcCc,https://i.ytimg.com/vi/POHNhn3WcCc/hqdefault.jpg,2021-04-24,-42,-33,Late Roman Republic,,rome;parthia;campaign,yes,Parthian campaign: no single site
v130,historia-civilis,War and Peace ...and War (35 to 32 B.C.E.),youtube,https://www.youtube.com/watch?v=HURI6EHXybc,https://i.ytimg.com/vi/HURI6EHXybc/hqdefault.jpg,2022-09-30,-35,-32,Late Roman Republic,rome,rome;politics;civil-war,yes,
v131,historia-civilis,The Battle of Actium (31 B.C.E.),youtube,https://www.youtube.com/watch?v=t7Y-1qMKY_0,https://i.ytimg.com/vi/t7Y-1qMKY_0/hqdefault.jpg,2022-12-17,-31,-31,Roman civil wars,actium,rome;naval;battle,yes,
v132,historia-civilis,The Death of Antony & Cleopatra (30 B.C.E.),youtube,https://www.youtube.com/watch?v=EezHXh-UG-c,https://i.ytimg.com/vi/EezHXh-UG-c/hqdefault.jpg,2023-05-20,-30,-30,End of Ptolemaic Egypt,alexandria,rome;egypt;cleopatra,yes,
v133,toldinstone,Roman Graffiti in Ancient Egypt,youtube,https://www.youtube.com/watch?v=LUJcyDbRYrs,https://i.ytimg.com/vi/LUJcyDbRYrs/hqdefault.jpg,2026-03-20,-30,395,Roman Egypt,luxor,rome;egypt;graffiti,yes,
v134,damilee,You Remember Rome Exactly How Rome Wanted,reel,https://www.youtube.com/watch?v=3jfD0icTx5w,https://i.ytimg.com/vi/3jfD0icTx5w/hqdefault.jpg,2026-08-04,-27,476,Roman Empire,rome,rome;propaganda;architecture;memory,yes,
v135,inrap,2000 ans d'histoire révélée à Autun,reel,https://www.youtube.com/watch?v=cs5Me7ONVrs,https://i.ytimg.com/vi/cs5Me7ONVrs/hqdefault.jpg,2026-07-06,-15,1500,Roman to medieval Autun,autun,excavation;urbanism;france,yes,
v136,damilee,POV: You're a Roman Pleb,reel,https://www.youtube.com/watch?v=gw8wJLd3FKA,https://i.ytimg.com/vi/gw8wJLd3FKA/hqdefault.jpg,2026-07-29,1,300,Roman Empire,rome,rome;daily-life;housing;architecture,yes,Span editorial: the video is about the imperial-era plebs generally
v137,study-antiquity,The Varian Disaster - Murder in the Forest,youtube,https://www.youtube.com/watch?v=Cv6agxLkuw4,https://i.ytimg.com/vi/Cv6agxLkuw4/hqdefault.jpg,2026-06-28,9,9,Roman Germania,kalkriese,rome;battle;germania,yes,The Varian disaster in the Teutoburg Forest
