influencer_id,video_id,title,published,url,thumbnail
passe-sauvage,Bjbae9sNS9g,Les aborigènes couraient plus vite qu'Usain Bolt ?! #sports,2025-12-22,https://www.youtube.com/watch?v=Bjbae9sNS9g,https://i.ytimg.com/vi/Bjbae9sNS9g/hqdefault.jpg
passe-sauvage,G-a6zxXYSHU,Comment dater un site archéologique ? Le carbone 14 #science #shorts,2026-01-04,https://www.youtube.com/watch?v=G-a6zxXYSHU,https://i.ytimg.com/vi/G-a6zxXYSHU/hqdefault.jpg
passe-sauvage,yYsQeaxZusI,Atlantide : ce que la science a (vraiment) découvert,2026-01-25,https://www.youtube.com/watch?v=yYsQeaxZusI,https://i.ytimg.com/vi/yYsQeaxZusI/hqdefault.jpg
passe-sauvage,gwOLM3U12iQ,Aux origines d'Homo sapiens : une découverte choc,2026-04-26,https://www.youtube.com/watch?v=gwOLM3U12iQ,https://i.ytimg.com/vi/gwOLM3U12iQ/hqdefault.jpg
passe-sauvage,hzOEFNY_G2Q,On a retrouvé le PREMIER mythe de l'humanité (65 000 ans),2026-06-03,https://www.youtube.com/watch?v=hzOEFNY_G2Q,https://i.ytimg.com/vi/hzOEFNY_G2Q/hqdefault.jpg
pero-eso-es-otra-historia,WBYN_3pzSWc,El Joffrey Baratheon español: el PRÍNCIPE don CARLOS #historia #datohistorico,2026-07-26,https://www.youtube.com/watch?v=WBYN_3pzSWc,https://i.ytimg.com/vi/WBYN_3pzSWc/hqdefault.jpg
pero-eso-es-otra-historia,Lf9oa6FoCL8,La princesa de Éboli y la conspiración para asesinar a Escobedo ￼ #historia,2026-07-28,https://www.youtube.com/watch?v=Lf9oa6FoCL8,https://i.ytimg.com/vi/Lf9oa6FoCL8/hqdefault.jpg
pero-eso-es-otra-historia,E6cq0-_Q3wY,"Los Juegos Olímpicos de Purchena, la olimpiada celebrada en mitad de la rebelión de las Alpujarras ￼",2026-07-28,https://www.youtube.com/watch?v=E6cq0-_Q3wY,https://i.ytimg.com/vi/E6cq0-_Q3wY/hqdefault.jpg
pero-eso-es-otra-historia,7fysun1YpS4,El ASESINATO de GUILLERMO de ORANGE #historia,2026-07-29,https://www.youtube.com/watch?v=7fysun1YpS4,https://i.ytimg.com/vi/7fysun1YpS4/hqdefault.jpg
pero-eso-es-otra-historia,p-CDa7ovAgI,"El día en el que los neerlandeses se comieron a su Primer Ministro, Johan de Witt #historia",2026-08-28,https://www.youtube.com/watch?v=p-CDa7ovAgI,https://i.ytimg.com/vi/p-CDa7ovAgI/hqdefault.jpg
pero-eso-es-otra-historia,S-mCpxJbo7c,Este CHINO vivió 256 años: Li Ching-Yuen,2026-08-30,https://www.youtube.com/watch?v=S-mCpxJbo7c,https://i.ytimg.com/vi/S-mCpxJbo7c/hqdefault.jpg
pero-eso-es-otra-historia,E8HSKhQ6MCA,¿Puede VIVIR una persona DOS SIGLOS?,2026-09-05,https://www.youtube.com/watch?v=E8HSKhQ6MCA,https://i.ytimg.com/vi/E8HSKhQ6MCA/hqdefault.jpg
pero-eso-es-otra-historia,KrURX3sZD3U,Carlos II... ¿era realmente retras*do?  #historia,2026-09-06,https://www.youtube.com/watch?v=KrURX3sZD3U,https://i.ytimg.com/vi/KrURX3sZD3U/hqdefault.jpg
prehistory-guys,inqFJJKFmgU,Bronze Age Opium: A Sophisticated Ancient Supply Chain,2026-06-28,https://www.youtube.com/watch?v=inqFJJKFmgU,https://i.ytimg.com/vi/inqFJJKFmgU/hqdefault.jpg
prehistory-guys,KIra58JUhvA,YOUR Stonehenge is Unique! What do you think?,2026-07-01,https://www.youtube.com/watch?v=KIra58JUhvA,https://i.ytimg.com/vi/KIra58JUhvA/hqdefault.jpg
prehistory-guys,RIitVVVThWM,NINE TIMES that Filming Archaeological Sites Completely Changed the Story,2026-07-10,https://www.youtube.com/watch?v=RIitVVVThWM,https://i.ytimg.com/vi/RIitVVVThWM/hqdefault.jpg
prehistory-guys,aefgirNk7YM,MEGALITHIC MEDITATIONS: Ancient Monuments Captured in 5 Cinematic Short Films (NO TALKING),2026-07-17,https://www.youtube.com/watch?v=aefgirNk7YM,https://i.ytimg.com/vi/aefgirNk7YM/hqdefault.jpg
prehistory-guys,8RoI7F271G0,LIVE ~ PREHISTORIC ARCHAEOLOGY NEWS From Around the World | 18/07/2026 02:00PM BST,2026-07-19,https://www.youtube.com/watch?v=8RoI7F271G0,https://i.ytimg.com/vi/8RoI7F271G0/hqdefault.jpg
prehistory-guys,8dlWfBeX3vE,LIVE ~ PREHISTORIC ARCHAEOLOGY NEWS From Around the World | 01/08/2026 02:00PM BST,2026-08-01,https://www.youtube.com/watch?v=8dlWfBeX3vE,https://i.ytimg.com/vi/8dlWfBeX3vE/hqdefault.jpg
